"from_name","to_name","level","from","to","title"
"trn_freight","NonFoodDemand_Crops>>Soybean oil","2",13,301,"supplemental info"
"regional sugarcrop","NonFoodDemand_Crops>>SugarCrop","2",25,302,"supplemental info"
"trn_freight","NonFoodDemand_Crops>>SugarCrop","2",13,302,"supplemental info"
"regional wheat","NonFoodDemand_Crops>>Wheat","2",26,303,"supplemental info"
"trn_freight","NonFoodDemand_Crops>>Wheat","2",13,303,"supplemental info"
"Forest","NonFoodDemand_Forest>>Forest","2",55,304,"supplemental info"
"regional beef","NonFoodDemand_Meat>>Beef","2",29,305,"supplemental info"
"regional dairy","NonFoodDemand_Meat>>Dairy","2",34,306,"supplemental info"
"OtherMeat_Fish","NonFoodDemand_Meat>>OtherMeat_Fish","2",35,307,"supplemental info"
"regional pork","NonFoodDemand_Meat>>pork","2",37,308,"supplemental info"
"regional poultry","NonFoodDemand_Meat>>poultry","2",38,309,"supplemental info"
"regional sheepgoat","NonFoodDemand_Meat>>SheepGoat","2",40,310,"supplemental info"
"N fertilizer","OilCrop>>OilCrop_X","2",7,311,"supplemental info"
"biophysical water consumption","OilCrop>>OilCrop_X","2",8,311,"supplemental info"
"refined liquids industrial","OilCrop>>OilCrop_X","2",9,311,"supplemental info"
"water_td_irr_X_C","OilCrop>>OilCrop_X","2",10,311,"supplemental info"
"water_td_irr_X_W","OilCrop>>OilCrop_X","2",11,311,"supplemental info"
"regional oilcrop","OilCrop oil>>OilCrop oil","2",17,312,"supplemental info"
"N fertilizer","OtherGrain>>OtherGrain_X","2",7,313,"supplemental info"
"biophysical water consumption","OtherGrain>>OtherGrain_X","2",8,313,"supplemental info"
"refined liquids industrial","OtherGrain>>OtherGrain_X","2",9,313,"supplemental info"
"water_td_irr_X_C","OtherGrain>>OtherGrain_X","2",10,313,"supplemental info"
"water_td_irr_X_W","OtherGrain>>OtherGrain_X","2",11,313,"supplemental info"
"N fertilizer","PalmFruit>>PalmFruit_X","2",7,314,"supplemental info"
"refined liquids industrial","PalmFruit>>PalmFruit_X","2",9,314,"supplemental info"
"regional palmfruit","PalmFruit oil>>PalmFruit oil","2",36,315,"supplemental info"
"FodderGrass","Pasture_FodderGrass>>FodderGrass","2",56,316,"supplemental info"
"Pasture","Pasture_FodderGrass>>Pasture","2",57,317,"supplemental info"
"FeedCrops","pork>>Mixed","2",1,318,"supplemental info"
"water_td_an_C","pork>>Mixed","2",2,318,"supplemental info"
"water_td_an_W","pork>>Mixed","2",3,318,"supplemental info"
"FodderHerb_Residue","pork>>Mixed","2",4,318,"supplemental info"
"Scavenging_Other","pork>>Mixed","2",6,318,"supplemental info"
"FeedCrops","poultry>>Mixed","2",1,319,"supplemental info"
"water_td_an_C","poultry>>Mixed","2",2,319,"supplemental info"
"water_td_an_W","poultry>>Mixed","2",3,319,"supplemental info"
"FodderHerb_Residue","poultry>>Mixed","2",4,319,"supplemental info"
"Scavenging_Other","poultry>>Mixed","2",6,319,"supplemental info"
"N fertilizer","Rapeseed>>Rapeseed_X","2",7,320,"supplemental info"
"biophysical water consumption","Rapeseed>>Rapeseed_X","2",8,320,"supplemental info"
"refined liquids industrial","Rapeseed>>Rapeseed_X","2",9,320,"supplemental info"
"regional rapeseed","Rapeseed oil>>Rapeseed oil","2",39,321,"supplemental info"
"N fertilizer","Rice>>Rice_X","2",7,322,"supplemental info"
"biophysical water consumption","Rice>>Rice_X","2",8,322,"supplemental info"
"refined liquids industrial","Rice>>Rice_X","2",9,322,"supplemental info"
"water_td_irr_X_C","Rice>>Rice_X","2",10,322,"supplemental info"
"water_td_irr_X_W","Rice>>Rice_X","2",11,322,"supplemental info"
"N fertilizer","RootTuber>>RootTuber_X","2",7,323,"supplemental info"
"biophysical water consumption","RootTuber>>RootTuber_X","2",8,323,"supplemental info"
"refined liquids industrial","RootTuber>>RootTuber_X","2",9,323,"supplemental info"
"water_td_irr_X_C","RootTuber>>RootTuber_X","2",10,323,"supplemental info"
"water_td_irr_X_W","RootTuber>>RootTuber_X","2",11,323,"supplemental info"
"Scavenging_Other_Rsrc","Scavenging_Other>>Scavenging_Other","2",58,324,"supplemental info"
"FeedCrops","SheepGoat>>Mixed","2",1,325,"supplemental info"
"water_td_an_C","SheepGoat>>Mixed","2",2,325,"supplemental info"
"water_td_an_W","SheepGoat>>Mixed","2",3,325,"supplemental info"
"FodderHerb_Residue","SheepGoat>>Mixed","2",4,325,"supplemental info"
"Pasture_FodderGrass","SheepGoat>>Mixed","2",5,325,"supplemental info"
"Scavenging_Other","SheepGoat>>Mixed","2",6,325,"supplemental info"
"Pasture_FodderGrass","SheepGoat>>Pastoral","2",5,326,"supplemental info"
"water_td_an_C","SheepGoat>>Pastoral","2",2,326,"supplemental info"
"water_td_an_W","SheepGoat>>Pastoral","2",3,326,"supplemental info"
"Scavenging_Other","SheepGoat>>Pastoral","2",6,326,"supplemental info"
"refined liquids industrial","Soybean>>Soybean_X","2",9,327,"supplemental info"
"N fertilizer","Soybean>>Soybean_X","2",7,327,"supplemental info"
"biophysical water consumption","Soybean>>Soybean_X","2",8,327,"supplemental info"
"water_td_irr_X_C","Soybean>>Soybean_X","2",10,327,"supplemental info"
"water_td_irr_X_W","Soybean>>Soybean_X","2",11,327,"supplemental info"
"regional soybean","Soybean oil>>Soybean oil","2",23,328,"supplemental info"
"N fertilizer","SugarCrop>>SugarCrop_X","2",7,329,"supplemental info"
"biophysical water consumption","SugarCrop>>SugarCrop_X","2",8,329,"supplemental info"
"refined liquids industrial","SugarCrop>>SugarCrop_X","2",9,329,"supplemental info"
"water_td_irr_X_C","SugarCrop>>SugarCrop_X","2",10,329,"supplemental info"
"water_td_irr_X_W","SugarCrop>>SugarCrop_X","2",11,329,"supplemental info"
"land-input","UnmanagedLand>>Deforest_X","2",59,330,"supplemental info"
"land-input","UnmanagedLand>>ForestFire_X","2",59,331,"supplemental info"
"land-input","UnmanagedLand>>GrasslandFires_X","2",59,332,"supplemental info"
"land-input","UnmanagedLand>>UnmanagedPasture_X","2",59,333,"supplemental info"
"N fertilizer","Wheat>>Wheat_X","2",7,334,"supplemental info"
"biophysical water consumption","Wheat>>Wheat_X","2",8,334,"supplemental info"
"refined liquids industrial","Wheat>>Wheat_X","2",9,334,"supplemental info"
"water_td_irr_X_C","Wheat>>Wheat_X","2",10,334,"supplemental info"
"water_td_irr_X_W","Wheat>>Wheat_X","2",11,334,"supplemental info"
"wholesale gas","backup_electricity>>gas","2",53,335,"supplemental info"
"N fertilizer","biomass>>biomassGrass_X","2",7,336,"supplemental info"
"biophysical water consumption","biomass>>biomassGrass_X","2",8,336,"supplemental info"
"refined liquids industrial","biomass>>biomassGrass_X","2",9,336,"supplemental info"
"water_td_irr_X_C","biomass>>biomassGrass_X","2",10,336,"supplemental info"
"water_td_irr_X_W","biomass>>biomassGrass_X","2",11,336,"supplemental info"
"N fertilizer","biomass>>biomassTree_X","2",7,337,"supplemental info"
"biophysical water consumption","biomass>>biomassTree_X","2",8,337,"supplemental info"
"refined liquids industrial","biomass>>biomassTree_X","2",9,337,"supplemental info"
"water_td_irr_X_C","biomass>>biomassTree_X","2",10,337,"supplemental info"
"water_td_irr_X_W","biomass>>biomassTree_X","2",11,337,"supplemental info"
"elect_td_ind","cement>>cement","2",43,338,"supplemental info"
"limestone","cement>>cement","2",60,338,"supplemental info"
"process heat cement","cement>>cement","2",61,338,"supplemental info"
"elect_td_bld","comm cooling>>electricity","2",62,339,"supplemental info"
"delivered coal","comm heating>>coal","2",63,340,"supplemental info"
"refined liquids enduse","comm heating>>refined liquids","2",64,341,"supplemental info"
"delivered biomass","comm others>>biomass","2",65,342,"supplemental info"
"delivered coal","comm others>>coal","2",63,343,"supplemental info"
"elect_td_bld","comm others>>electricity","2",62,344,"supplemental info"
"delivered gas","comm others>>gas","2",52,345,"supplemental info"
"refined liquids enduse","comm others>>refined liquids","2",64,346,"supplemental info"
"elect_td_ind","corn ethanol>>corn ethanol","2",43,347,"supplemental info"
"regional corn for ethanol","corn ethanol>>corn ethanol","2",66,347,"supplemental info"
"wholesale gas","corn ethanol>>corn ethanol","2",53,347,"supplemental info"
"wholesale gas","csp_backup>>gas","2",53,348,"supplemental info"
"regional biomass","delivered biomass>>delivered biomass","2",41,349,"supplemental info"
"regional coal","delivered coal>>delivered coal","2",42,350,"supplemental info"
"gas pipeline","delivered gas>>delivered gas","2",67,351,"supplemental info"
"csp_backup","elec_CSP>>CSP","2",68,352,"supplemental info"
"global solar resource","elec_CSP>>CSP","2",46,352,"supplemental info"
"water_td_elec_C","elec_CSP>>CSP","2",69,352,"supplemental info"
"water_td_elec_W","elec_CSP>>CSP","2",70,352,"supplemental info"
"global solar resource","elec_CSP_storage>>CSP_storage","2",46,353,"supplemental info"
"water_td_elec_C","elec_CSP_storage>>CSP_storage","2",69,353,"supplemental info"
"water_td_elec_W","elec_CSP_storage>>CSP_storage","2",70,353,"supplemental info"
"nuclearFuelGenIII","elec_Gen_III>>Gen_III","2",45,354,"supplemental info"
"water_td_elec_C","elec_Gen_III>>Gen_III","2",69,354,"supplemental info"
"water_td_elec_W","elec_Gen_III>>Gen_III","2",70,354,"supplemental info"
"seawater","elec_Gen_III>>Gen_III","2",71,354,"supplemental info"
"regional biomass","elec_biomass (IGCC)>>biomass (IGCC)","2",41,355,"supplemental info"
"water_td_elec_C","elec_biomass (IGCC)>>biomass (IGCC)","2",69,355,"supplemental info"
"water_td_elec_W","elec_biomass (IGCC)>>biomass (IGCC)","2",70,355,"supplemental info"
"seawater","elec_biomass (IGCC)>>biomass (IGCC)","2",71,355,"supplemental info"
"regional biomass","elec_biomass (conv)>>biomass (conv)","2",41,356,"supplemental info"
"water_td_elec_C","elec_biomass (conv)>>biomass (conv)","2",69,356,"supplemental info"
"water_td_elec_W","elec_biomass (conv)>>biomass (conv)","2",70,356,"supplemental info"
"seawater","elec_biomass (conv)>>biomass (conv)","2",71,356,"supplemental info"
"regional coal","elec_coal (IGCC)>>coal (IGCC)","2",42,357,"supplemental info"
"water_td_elec_C","elec_coal (IGCC)>>coal (IGCC)","2",69,357,"supplemental info"
"water_td_elec_W","elec_coal (IGCC)>>coal (IGCC)","2",70,357,"supplemental info"
"seawater","elec_coal (IGCC)>>coal (IGCC)","2",71,357,"supplemental info"
"regional coal","elec_coal (conv pul)>>coal (conv pul)","2",42,358,"supplemental info"
"water_td_elec_C","elec_coal (conv pul)>>coal (conv pul)","2",69,358,"supplemental info"
"water_td_elec_W","elec_coal (conv pul)>>coal (conv pul)","2",70,358,"supplemental info"
"seawater","elec_coal (conv pul)>>coal (conv pul)","2",71,358,"supplemental info"
"water_td_elec_C","elec_gas (CC)>>gas (CC)","2",69,359,"supplemental info"
"water_td_elec_W","elec_gas (CC)>>gas (CC)","2",70,359,"supplemental info"
"wholesale gas","elec_gas (CC)>>gas (CC)","2",53,359,"supplemental info"
"seawater","elec_gas (CC)>>gas (CC)","2",71,359,"supplemental info"
"water_td_elec_C","elec_gas (steam/CT)>>gas (steam/CT)","2",69,360,"supplemental info"
"water_td_elec_W","elec_gas (steam/CT)>>gas (steam/CT)","2",70,360,"supplemental info"
"wholesale gas","elec_gas (steam/CT)>>gas (steam/CT)","2",53,360,"supplemental info"
"seawater","elec_gas (steam/CT)>>gas (steam/CT)","2",71,360,"supplemental info"
"geothermal","elec_geothermal>>geothermal","2",72,361,"supplemental info"
"water_td_elec_C","elec_geothermal>>geothermal","2",69,361,"supplemental info"
"water_td_elec_W","elec_geothermal>>geothermal","2",70,361,"supplemental info"
"oil-credits","elec_refined liquids (CC)>>refined liquids (CC)","2",73,362,"supplemental info"
"refined liquids industrial","elec_refined liquids (CC)>>refined liquids (CC)","2",9,362,"supplemental info"
"water_td_elec_C","elec_refined liquids (CC)>>refined liquids (CC)","2",69,362,"supplemental info"
"water_td_elec_W","elec_refined liquids (CC)>>refined liquids (CC)","2",70,362,"supplemental info"
"seawater","elec_refined liquids (CC)>>refined liquids (CC)","2",71,362,"supplemental info"
"oil-credits","elec_refined liquids (steam/CT)>>refined liquids (steam/CT)","2",73,363,"supplemental info"
"refined liquids industrial","elec_refined liquids (steam/CT)>>refined liquids (steam/CT)","2",9,363,"supplemental info"
"water_td_elec_C","elec_refined liquids (steam/CT)>>refined liquids (steam/CT)","2",69,363,"supplemental info"
"water_td_elec_W","elec_refined liquids (steam/CT)>>refined liquids (steam/CT)","2",70,363,"supplemental info"
"seawater","elec_refined liquids (steam/CT)>>refined liquids (steam/CT)","2",71,363,"supplemental info"
"electricity_net_ownuse","elect_td_bld>>elect_td_bld","2",74,364,"supplemental info"
"backup_electricity","elect_td_bld>>rooftop_pv","2",75,365,"supplemental info"
"distributed_solar","elect_td_bld>>rooftop_pv","2",76,365,"supplemental info"
"electricity_net_ownuse","elect_td_ind>>elect_td_ind","2",74,366,"supplemental info"
"electricity_net_ownuse","elect_td_trn>>elect_td_trn","2",74,367,"supplemental info"
"elec_biomass (IGCC)","electricity>>biomass","2",77,368,"supplemental info"
"elec_biomass (conv)","electricity>>biomass","2",78,368,"supplemental info"
"elec_coal (IGCC)","electricity>>coal","2",79,369,"supplemental info"
"elec_coal (conv pul)","electricity>>coal","2",80,369,"supplemental info"
"elec_gas (CC)","electricity>>gas","2",81,370,"supplemental info"
"elec_gas (steam/CT)","electricity>>gas","2",82,370,"supplemental info"
"elec_geothermal","electricity>>geothermal","2",83,371,"supplemental info"
"water_td_elec_C","electricity>>hydro","2",69,372,"supplemental info"
"elec_Gen_III","electricity>>nuclear","2",84,373,"supplemental info"
"elec_refined liquids (CC)","electricity>>refined liquids","2",85,374,"supplemental info"
"elec_refined liquids (steam/CT)","electricity>>refined liquids","2",86,374,"supplemental info"
"elec_CSP","electricity>>solar","2",87,375,"supplemental info"
"elec_CSP_storage","electricity>>solar","2",88,375,"supplemental info"
"backup_electricity","electricity>>solar","2",75,375,"supplemental info"
"global solar resource","electricity>>solar","2",46,375,"supplemental info"
"water_td_elec_C","electricity>>solar","2",69,375,"supplemental info"
"water_td_elec_W","electricity>>solar","2",70,375,"supplemental info"
"backup_electricity","electricity>>wind","2",75,376,"supplemental info"
"onshore wind resource","electricity>>wind","2",47,376,"supplemental info"
"offshore wind resource","electricity>>wind","2",89,376,"supplemental info"
"electricity","electricity_net_ownuse>>electricity_net_ownuse","2",90,377,"supplemental info"
"gas processing","gas pipeline>>gas pipeline","2",91,378,"supplemental info"
"regional biomass","gas processing>>biomass gasification","2",41,379,"supplemental info"
"regional coal","gas processing>>coal gasification","2",42,380,"supplemental info"
"regional natural gas","gas processing>>natural gas","2",44,381,"supplemental info"
"delivered biomass","industrial energy use>>biomass","2",65,382,"supplemental info"
"delivered coal","industrial energy use>>coal","2",63,383,"supplemental info"
"elect_td_ind","industrial energy use>>electricity","2",43,384,"supplemental info"
"wholesale gas","industrial energy use>>gas","2",53,385,"supplemental info"
"H2 enduse","industrial energy use>>hydrogen","2",92,386,"supplemental info"
"refined liquids industrial","industrial energy use>>refined liquids","2",9,387,"supplemental info"
"wholesale gas","industrial feedstocks>>gas","2",53,388,"supplemental info"
"oil-credits","industrial feedstocks>>refined liquids","2",73,389,"supplemental info"
"refined liquids industrial","industrial feedstocks>>refined liquids","2",9,389,"supplemental info"
"misc emissions sources","industrial processes>>Al_Mg","2",93,390,"supplemental info"
"misc emissions sources","industrial processes>>HCFC_22_Prod","2",93,391,"supplemental info"
"misc emissions sources","industrial processes>>adipic acid","2",93,392,"supplemental info"
"misc emissions sources","industrial processes>>foams","2",93,393,"supplemental info"
"misc emissions sources","industrial processes>>nitric acid","2",93,394,"supplemental info"
"misc emissions sources","industrial processes>>other industrial processes","2",93,395,"supplemental info"
"misc emissions sources","industrial processes>>semiconductors","2",93,396,"supplemental info"
"misc emissions sources","industrial processes>>solvents","2",93,397,"supplemental info"
"industrial energy use","industry>>industry","2",94,398,"supplemental info"
"industrial feedstocks","industry>>industry","2",95,398,"supplemental info"
"industrial processes","industry>>industry","2",96,398,"supplemental info"
"water_td_ind_C","industry>>industry","2",97,398,"supplemental info"
"water_td_ind_W","industry>>industry","2",98,398,"supplemental info"
"water_td_dom_C","municipal water>>municipal water","2",99,399,"supplemental info"
"water_td_dom_W","municipal water>>municipal water","2",100,399,"supplemental info"
"seawater","nuclearFuelGenIII>>enrichedUranium","2",71,400,"supplemental info"
"uranium","nuclearFuelGenIII>>enrichedUranium","2",101,400,"supplemental info"
"water_td_pri_C","nuclearFuelGenIII>>enrichedUranium","2",102,400,"supplemental info"
"water_td_pri_W","nuclearFuelGenIII>>enrichedUranium","2",103,400,"supplemental info"
"delivered biomass","process heat cement>>biomass","2",65,401,"supplemental info"
"delivered coal","process heat cement>>coal","2",63,402,"supplemental info"
"wholesale gas","process heat cement>>gas","2",53,403,"supplemental info"
"refined liquids industrial","process heat cement>>refined liquids","2",9,404,"supplemental info"
"regional refined oil","refined liquids enduse>>refined oil","2",104,405,"supplemental info"
"trn_freight","refined liquids enduse>>refined oil","2",13,405,"supplemental info"
"regional corn ethanol","refined liquids gasoline pool>>ethanol","2",105,406,"supplemental info"
"trn_freight","refined liquids gasoline pool>>ethanol","2",13,406,"supplemental info"
"regional sugar cane ethanol","refined liquids gasoline pool>>ethanol","2",106,406,"supplemental info"
"regional refined oil","refined liquids gasoline pool>>refining","2",104,407,"supplemental info"
"trn_freight","refined liquids gasoline pool>>refining","2",13,407,"supplemental info"
"regional refined oil","refined liquids industrial>>refined liquids industrial","2",104,408,"supplemental info"
"trn_freight","refined liquids industrial>>refined liquids industrial","2",13,408,"supplemental info"
"regional coal","refining>>coal to liquids","2",42,409,"supplemental info"
"regional natural gas","refining>>gas to liquids","2",44,410,"supplemental info"
"elect_td_ind","refining>>oil refining","2",43,411,"supplemental info"
"regional oil","refining>>oil refining","2",107,411,"supplemental info"
"wholesale gas","refining>>oil refining","2",53,411,"supplemental info"
"DDGS","regional DDGS>>domestic DDGS","2",108,412,"supplemental info"
"traded DDGS","regional DDGS>>imported DDGS","2",109,413,"supplemental info"
"Beef","regional beef>>domestic beef","2",110,414,"supplemental info"
"traded beef","regional beef>>imported beef","2",111,415,"supplemental info"
"total biomass","regional biomass>>regional biomass","2",112,416,"supplemental info"
"trn_freight","regional biomass>>regional biomass","2",13,416,"supplemental info"
"coal","regional coal>>regional coal","2",113,417,"supplemental info"
"seawater","regional coal>>regional coal","2",71,417,"supplemental info"
"trn_freight","regional coal>>regional coal","2",13,417,"supplemental info"
"water_td_pri_C","regional coal>>regional coal","2",102,417,"supplemental info"
"water_td_pri_W","regional coal>>regional coal","2",103,417,"supplemental info"
"Corn","regional corn>>domestic corn","2",114,418,"supplemental info"
"traded corn","regional corn>>imported corn","2",115,419,"supplemental info"
"trn_shipping_intl","regional corn>>imported corn","2",116,419,"supplemental info"
"corn ethanol","regional corn ethanol>>domestic corn ethanol","2",117,420,"supplemental info"
"traded corn ethanol","regional corn ethanol>>imported corn ethanol","2",118,421,"supplemental info"
"regional corn","regional corn for ethanol>>regional corn for ethanol","2",12,422,"supplemental info"
"Dairy","regional dairy>>domestic dairy","2",119,423,"supplemental info"
"traded dairy","regional dairy>>imported dariy","2",120,424,"supplemental info"
"FiberCrop","regional fibercrop>>domestic fibercrop","2",121,425,"supplemental info"
"traded fibercrop","regional fibercrop>>imported fibercrop","2",122,426,"supplemental info"
"trn_shipping_intl","regional fibercrop>>imported fibercrop","2",116,426,"supplemental info"
"MiscCrop","regional misccrop>>domestic misccrop","2",123,427,"supplemental info"
"traded misccrop","regional misccrop>>imported misccrop","2",124,428,"supplemental info"
"trn_shipping_intl","regional misccrop>>imported misccrop","2",116,428,"supplemental info"
"natural gas","regional natural gas>>regional natural gas","2",125,429,"supplemental info"
"seawater","regional natural gas>>regional natural gas","2",71,429,"supplemental info"
"water_td_pri_C","regional natural gas>>regional natural gas","2",102,429,"supplemental info"
"water_td_pri_W","regional natural gas>>regional natural gas","2",103,429,"supplemental info"
"crude oil","regional oil>>crude oil","2",126,430,"supplemental info"
"seawater","regional oil>>crude oil","2",71,430,"supplemental info"
"trn_shipping_intl","regional oil>>crude oil","2",116,430,"supplemental info"
"water_td_pri_C","regional oil>>crude oil","2",102,430,"supplemental info"
"water_td_pri_W","regional oil>>crude oil","2",103,430,"supplemental info"
"traded unconventional oil","regional oil>>unconventional oil","2",127,431,"supplemental info"
"trn_shipping_intl","regional oil>>unconventional oil","2",116,431,"supplemental info"
"OilCrop","regional oilcrop>>domestic oilcrop","2",128,432,"supplemental info"
"traded oilcrop","regional oilcrop>>imported oilcrop","2",129,433,"supplemental info"
"trn_shipping_intl","regional oilcrop>>imported oilcrop","2",116,433,"supplemental info"
"OilCrop feedcake","regional oilcrop feedcake>>domestic oilcrop feedcake","2",130,434,"supplemental info"
"traded oilcrop feedcake","regional oilcrop feedcake>>imported oilcrop feedcake","2",131,435,"supplemental info"
"OilCrop oil","regional oilcrop oil>>domestic oilcrop oil","2",132,436,"supplemental info"
"traded oilcrop oil","regional oilcrop oil>>imported oilcrop oil","2",133,437,"supplemental info"
"OtherGrain","regional othergrain>>domestic othergrain","2",134,438,"supplemental info"
"traded othergrain","regional othergrain>>imported othergrain","2",135,439,"supplemental info"
"trn_shipping_intl","regional othergrain>>imported othergrain","2",116,439,"supplemental info"
"PalmFruit","regional palmfruit>>domestic palmfruit","2",136,440,"supplemental info"
"PalmFruit feedcake","regional palmfruit feedcake>>domestic palmfruit feedcake","2",137,441,"supplemental info"
"traded palmfruit feedcake","regional palmfruit feedcake>>imported palmfruit feedcake","2",138,442,"supplemental info"
"PalmFruit oil","regional palmfruit oil>>domestic palmfruit oil","2",139,443,"supplemental info"
"traded palmfruit oil","regional palmfruit oil>>imported palmfruit oil","2",140,444,"supplemental info"
"pork","regional pork>>domestic pork","2",141,445,"supplemental info"
"traded pork","regional pork>>imported pork","2",142,446,"supplemental info"
"poultry","regional poultry>>domestic poultry","2",143,447,"supplemental info"
"traded poultry","regional poultry>>imported poultry","2",144,448,"supplemental info"
"Rapeseed","regional rapeseed>>domestic rapeseed","2",145,449,"supplemental info"
"traded rapeseed","regional rapeseed>>imported rapeseed","2",146,450,"supplemental info"
"trn_shipping_intl","regional rapeseed>>imported rapeseed","2",116,450,"supplemental info"
"Rapeseed feedcake","regional rapeseed feedcake>>domestic rapeseed feedcake","2",147,451,"supplemental info"
"traded rapeseed feedcake","regional rapeseed feedcake>>imported rapeseed feedcake","2",148,452,"supplemental info"
"Rapeseed oil","regional rapeseed oil>>domestic rapeseed oil","2",149,453,"supplemental info"
"traded rapeseed oil","regional rapeseed oil>>imported rapeseed oil","2",150,454,"supplemental info"
"refining","regional refined oil>>domestic refined oil","2",151,455,"supplemental info"
"traded refined oil","regional refined oil>>imported refined oil","2",152,456,"supplemental info"
"Rice","regional rice>>domestic rice","2",153,457,"supplemental info"
"traded rice","regional rice>>imported rice","2",154,458,"supplemental info"
"trn_shipping_intl","regional rice>>imported rice","2",116,458,"supplemental info"
"RootTuber","regional root_tuber>>domestic root_tuber","2",155,459,"supplemental info"
"traded root_tuber","regional root_tuber>>imported root_tuber","2",156,460,"supplemental info"
"trn_shipping_intl","regional root_tuber>>imported root_tuber","2",116,460,"supplemental info"
"SheepGoat","regional sheepgoat>>domestic sheepgoat","2",157,461,"supplemental info"
"traded sheepgoat","regional sheepgoat>>imported sheepgoat","2",158,462,"supplemental info"
"Soybean","regional soybean>>domestic soybean","2",159,463,"supplemental info"
"traded soybean","regional soybean>>imported soybean","2",160,464,"supplemental info"
"trn_shipping_intl","regional soybean>>imported soybean","2",116,464,"supplemental info"
"Soybean feedcake","regional soybean feedcake>>domestic soybean feedcake","2",161,465,"supplemental info"
"traded soybean feedcake","regional soybean feedcake>>imported soybean feedcake","2",162,466,"supplemental info"
"Soybean oil","regional soybean oil>>domestic soybean oil","2",163,467,"supplemental info"
"traded soybean oil","regional soybean oil>>imported soybean oil","2",164,468,"supplemental info"
"traded sugar cane ethanol","regional sugar cane ethanol>>imported sugar cane ethanol","2",165,469,"supplemental info"
"SugarCrop","regional sugarcrop>>domestic sugarcrop","2",166,470,"supplemental info"
"traded sugarcrop","regional sugarcrop>>imported sugarcrop","2",167,471,"supplemental info"
"trn_shipping_intl","regional sugarcrop>>imported sugarcrop","2",116,471,"supplemental info"
"Wheat","regional wheat>>domestic wheat","2",168,472,"supplemental info"
"traded wheat","regional wheat>>imported wheat","2",169,473,"supplemental info"
"trn_shipping_intl","regional wheat>>imported wheat","2",116,473,"supplemental info"
"elect_td_bld","resid cooling>>electricity","2",62,474,"supplemental info"
"traditional biomass","resid heating>>traditional biomass","2",170,475,"supplemental info"
"delivered biomass","resid others>>biomass","2",65,476,"supplemental info"
"delivered coal","resid others>>coal","2",63,477,"supplemental info"
"elect_td_bld","resid others>>electricity","2",62,478,"supplemental info"
"refined liquids enduse","resid others>>refined liquids","2",64,479,"supplemental info"
"traditional biomass","resid others>>traditional biomass","2",170,480,"supplemental info"
"biomass","total biomass>>domestic biomass","2",171,481,"supplemental info"
"traded biomass","total biomass>>imported biomass","2",172,482,"supplemental info"
"elect_td_trn","trn_aviation_intl>>International Aviation","2",51,483,"supplemental info"
"H2 enduse","trn_aviation_intl>>International Aviation","2",92,483,"supplemental info"
"refined liquids enduse","trn_aviation_intl>>International Aviation","2",64,483,"supplemental info"
"elect_td_trn","trn_freight>>Domestic Ship","2",51,484,"supplemental info"
"H2 enduse","trn_freight>>Domestic Ship","2",92,484,"supplemental info"
"refined liquids enduse","trn_freight>>Domestic Ship","2",64,484,"supplemental info"
"elect_td_trn","trn_freight>>Freight Rail","2",51,485,"supplemental info"
"delivered coal","trn_freight>>Freight Rail","2",63,485,"supplemental info"
"H2 enduse","trn_freight>>Freight Rail","2",92,485,"supplemental info"
"refined liquids enduse","trn_freight>>Freight Rail","2",64,485,"supplemental info"
"trn_freight_road","trn_freight>>road","2",173,486,"supplemental info"
"elect_td_trn","trn_freight_road>>Heavy truck","2",51,487,"supplemental info"
"H2 enduse","trn_freight_road>>Heavy truck","2",92,487,"supplemental info"
"refined liquids enduse","trn_freight_road>>Heavy truck","2",64,487,"supplemental info"
"delivered gas","trn_freight_road>>Heavy truck","2",52,487,"supplemental info"
"elect_td_trn","trn_freight_road>>Light truck","2",51,488,"supplemental info"
"H2 enduse","trn_freight_road>>Light truck","2",92,488,"supplemental info"
"refined liquids gasoline pool","trn_freight_road>>Light truck","2",174,488,"supplemental info"
"delivered gas","trn_freight_road>>Light truck","2",52,488,"supplemental info"
"elect_td_trn","trn_freight_road>>Medium truck","2",51,489,"supplemental info"
"H2 enduse","trn_freight_road>>Medium truck","2",92,489,"supplemental info"
"refined liquids enduse","trn_freight_road>>Medium truck","2",64,489,"supplemental info"
"delivered gas","trn_freight_road>>Medium truck","2",52,489,"supplemental info"
"renewable","trn_pass>>Cycle","2",175,490,"supplemental info"
"elect_td_trn","trn_pass>>Domestic Aviation","2",51,491,"supplemental info"
"H2 enduse","trn_pass>>Domestic Aviation","2",92,491,"supplemental info"
"refined liquids enduse","trn_pass>>Domestic Aviation","2",64,491,"supplemental info"
"elect_td_trn","trn_pass>>HSR","2",51,492,"supplemental info"
"elect_td_trn","trn_pass>>Passenger Rail","2",51,493,"supplemental info"
"refined liquids enduse","trn_pass>>Passenger Rail","2",64,493,"supplemental info"
"renewable","trn_pass>>Walk","2",175,494,"supplemental info"
"trn_pass_road","trn_pass>>road","2",176,495,"supplemental info"
"elect_td_trn","trn_pass_road>>Bus","2",51,496,"supplemental info"
"H2 enduse","trn_pass_road>>Bus","2",92,496,"supplemental info"
"refined liquids enduse","trn_pass_road>>Bus","2",64,496,"supplemental info"
"delivered gas","trn_pass_road>>Bus","2",52,496,"supplemental info"
"trn_pass_road_LDV","trn_pass_road>>LDV","2",177,497,"supplemental info"
